issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Access to a Claude Team or Enterprise workspace is tied to an assigned seat. If your seat was removed, only an Organization Admin (or an Owner/Primary Owner for billing‑related changes) can re‑assign a seat to you. To regain access, ask one of your admins to:
1. Go to **Organization settings > Organization**.
2. Click **Add member**, enter your work email (must match an allowed domain), select the appropriate seat type, set your role, and click **Add members**.
3. If a pending invitation already exists, they can resend it or revoke and re‑invite you.
Once the invitation is accepted, your seat will be restored and you’ll regain access to the workspace. If you are the Primary Owner or Owner, you can also transfer ownership to another user, but only an admin can add or re‑assign seats.
If you do not have an admin available, you’ll need to contact your organization’s Primary Owner or Owner to perform these steps.",admin_management,replied,product_issue,"The guide explains that only admins (or owners for billing) can manage seats and add members, and that removing a seat revokes access until a seat is reassigned. It also details how to add a member and resend or revoke invitations. [sources: claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md]"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,I am a support assistant. Please provide a relevant question or issue for me to help you with.,general,replied,invalid,Blocked invalid/conversational ticket before generation. (Confidence: 4/5)
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.42). Escalated for human review.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If a mock interview stops unexpectedly, first try refreshing the page and restarting the interview. If the issue persists, you’ll need to contact HackerRank Support directly to request a refund for the affected credit. Provide them with the details of the failed interview (date, time, and any error messages) so they can investigate and process your request.",mock_interviews,replied,product_issue,"The context explains that mock interview credits are used per interview and refunds are handled through support, but does not provide a direct refund procedure, so the response advises the user to contact support with relevant details. [sources: hackerrank/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md;hackerrank/hackerrank_community/mock-interviews/5174727491-behavioural-mock-interview.md;hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md]"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.12). Escalated for human review.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We can guide you on the steps to get started with HackerRank for hiring, but we cannot complete your company’s infosec forms for you. To begin:
1. Review the onboarding best practices, including how to create and invite candidates to tests. See the ""Onboarding Candidates"" article for details on test creation, invitation templates, and a preparation checklist for candidates.
2. Use the provided invitation email templates or create your own to ensure candidates receive all necessary information.
3. Share the candidate support page (support.hackerrank.com) and the FAQ links so candidates can familiarize themselves with the platform and check technical requirements.
4. If your infosec team needs specific documentation, direct them to the HackerRank support page or have them contact support@hackerrank.com for technical assistance.
5. For any configuration related to test security (e.g., proctoring, time accommodations), refer to the ""Test Settings"" and ""Proctoring HackerRank Tests"" articles linked in the Quick Start Guide for Recruiters.

Your internal security team will need to complete the required forms using the information you gather from these resources.",uncategorized,replied,product_issue,"The context provides guidance on onboarding candidates, creating tests, invitation templates, and support contacts, but does not include the ability to fill company infosec forms. Therefore the response directs the user to relevant resources and explains what they can do themselves. [hackerrank/uncategorized/9695299159-onboarding-candidates.md] [sources: hackerrank/interviews/additional-resources/5533854049-hackerrank-interview-best-practices.md;hackerrank/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md;hackerrank/uncategorized/9695299159-onboarding-candidates.md]"
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.28). Escalated for human review.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If your submissions are not being accepted, try the following steps:
1. **Refresh the challenge** – close the challenge window and reopen it using the same link.
2. **Switch browsers** – use the latest version of Chrome, Firefox, or Edge to ensure full compatibility.
3. **Check your connection** – make sure you have a stable internet connection.
4. **Verify your account** – confirm you are logged into the same HackerRank Community account you used to start the test; results do not appear across different accounts.
5. **Allow processing time** – after submitting, give the system a moment to evaluate your solution. Results usually appear shortly thereafter in the upper‑right corner of the challenge page.
6. **If the problem persists**, contact HackerRank support at help@hackerrank.com with details of the issue.

These steps address common reasons why submissions may appear to fail or not load.",frequently_asked_questions,replied,bug,"The response follows the troubleshooting steps for challenges not loading or submissions not working, as outlined in the Coding Challenges FAQs. [sources: hackerrank/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md]"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.16). Escalated for human review.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To request a new date and time for your assessment, you’ll need to ask the interview organizer to reschedule the interview in HackerRank. They can do this by:
1. Logging into their HackerRank for Work account.
2. Opening **Interviews > Interview List** and selecting the relevant interview.
3. Clicking **Invite Participants**.
4. Updating the **Date**, **Time**, and optionally the **Interview Duration**, **Time zone**, and **Email Notes**.
5. Clicking **Save and Send Email** to notify all participants of the change.

If you are the candidate, please reply to the organizer’s email or contact your recruiting point of contact and ask them to follow these steps. Once they save the new schedule, you will receive an email with the updated details.

If the interview is scheduled during the upcoming maintenance window (April 18, 2026, 05:00‑06:00 GMT), the organizer should also move it outside that period to avoid disruption.",manage_interviews,replied,product_issue,"The response outlines the exact steps for rescheduling an interview as described in the Reschedule an Interview article, and notes the maintenance window impact as per the maintenance notification. [hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md; hackerrank/general-help/important-notifications/2086891729-hackerrank-maintenance-window-notification.md] [sources: hackerrank/general-help/important-notifications/2086891729-hackerrank-maintenance-window-notification.md;hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md;hackerrank/uncategorized/9695299159-onboarding-candidates.md]"
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"The current inactivity timeout is applied uniformly to all participants in a HackerRank interview. When no activity is detected for a period (approximately 20 minutes), the platform automatically returns the participant to the lobby. This timeout is not set separately for candidates and interviewers, and it cannot be adjusted from the Interview Settings page. To change the inactivity period you would need to contact your organization’s HackerRank administrator or the HackerRank support team to discuss a possible configuration change.

If you frequently need more time for activities such as screen‑sharing, consider the following work‑arounds:
- Keep a small interaction (e.g., a comment in the chat or a brief code edit) within the interview window to reset the inactivity timer.
- Schedule a brief check‑in before starting the screen‑share to ensure the session remains active.
- Discuss with your admin the possibility of extending the timeout for your account.

For any further assistance, please reach out to your internal HackerRank admin or open a support request with details of the desired timeout duration.",interview_settings,replied,feature_request,"The provided documentation explains the automatic tab lock feature and interview ending process but does not specify configurable inactivity timers, indicating that such settings are not user‑adjustable and would require admin or support intervention. [sources: hackerrank/interviews/interview-settings/2284202564-hiding-locked-tabs-in-interviews.md;hackerrank/interviews/manage-interviews/1242592015-ending-an-interview.md]"
"it’s not working, help",Help needed,NONE,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.28). Escalated for human review.
