issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Restoring access to a Claude workspace requires an admin or owner to add you back to the organization. Since you are not an admin or owner, you’ll need to ask one of your organization’s admins (or the Primary Owner) to re‑add your account using the “Add member” flow in Organization settings. They can also check the pending invitations or seat availability and assign the appropriate seat type. If you’re unsure who the admins are, you can view the member list in the Organization settings or contact your internal IT support for assistance.",admin_management,replied,product_issue,"The guide states that only admins and owners can add or re‑add members, and users who lost access must be re‑added by an admin. [sources: claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md]"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We understand your concern about the test results. The scoring of HackerRank assessments is automated and cannot be altered by us. If you believe there was an error, we recommend reaching out directly to the recruiter or hiring team at the company that administered the test to discuss your results and request a review. They can provide guidance on any next steps or possible re‑evaluation.",general,replied,product_issue,"The context provides integration and feature details but does not include a process for disputing test scores; therefore, the appropriate response is to direct the user to contact the recruiter or hiring team for review. [sources: hackerrank/integrations/applicant-tracking-systems/recruitee/6130823390-recruitee---hackerrank-integration-guide.md]"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human,consumer,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.42). Router classified this as product_issue in consumer. Escalated for human review. (Confidence: 5/5)
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"It looks like your mock interview session stopped unexpectedly. Mock interview credits are consumed per attempt and cannot be transferred or refunded automatically. To request a refund, please contact HackerRank Support directly and provide the details of the failed interview (date, credit used, and any error messages). They will review the case and let you know the next steps.

If you need to continue practicing while the issue is being resolved, you can try the following:
1. Verify your internet connection and ensure your microphone is working.
2. Refresh the page and start a new interview attempt.
3. If the problem persists, open a support ticket from the Help Center with the information mentioned above.

We appreciate your patience while the support team investigates this matter.",mock_interviews,replied,product_issue,"The context explains that each mock interview consumes one credit and that refunds are not addressed directly, so the appropriate action is to advise the user to contact support for a refund request. [sources: hackerrank/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md;hackerrank/hackerrank_community/mock-interviews/5174727491-behavioural-mock-interview.md]"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human,subscriptions_payments_and_billing,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.12). Router classified this as product_issue in subscriptions_payments_and_billing. Escalated for human review. (Confidence: 5/5)
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We can guide you on the steps to prepare for using HackerRank in your hiring workflow, but we cannot complete your company’s infosec forms for you. To get started:
1. Review the onboarding guide to understand how to create and configure tests, invite candidates, and use invitation templates. This will help you align the assessment process with your security and compliance requirements.
2. Use the support resources for candidates and recruiters (e.g., the dedicated support page, FAQs, and the sample test) to ensure that both your team and candidates are familiar with the platform’s security features.
3. If your organization requires specific infosec documentation, contact your internal security or compliance team to request the necessary forms. They can then be completed with the details you gather from the HackerRank onboarding materials.
4. For any technical questions or clarification about the platform’s security settings, you can reach out to HackerRank support at support@hackerrank.com.
By following these steps, you can gather the information needed to fill out your company’s infosec forms yourself.",uncategorized,replied,product_issue,"The response uses the onboarding and support information from the provided HackerRank documentation, which outlines how to create tests, invite candidates, and access support, while correctly stating that we cannot fill out the company's infosec forms for them. [sources: hackerrank/uncategorized/9695299159-onboarding-candidates.md]"
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Escalate to a human,additional_resources,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.28). Router classified this as product_issue in additional_resources. Escalated for human review. (Confidence: 5/5)
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If your submissions are not being processed for any challenge, try the following steps:
1. **Refresh the challenge** – close the challenge window and reopen it using the same link.
2. **Switch browsers** – open the challenge in the latest version of Chrome, Firefox, or Edge.
3. **Check your connection** – ensure you have a stable internet connection.
4. **Verify your account** – make sure you are logged into the same HackerRank Community account you used to start the challenge.
5. **Wait for processing** – after submitting, give the system a short moment to evaluate your solution; results appear in the upper‑right corner once processing is complete.
6. **If the problem persists**, contact HackerRank support at help@hackerrank.com with details of the issue.

Note: For company‑sponsored challenges, results are not shown on the platform; the hosting company will contact you directly.",practice_coding_challenges,replied,product_issue,"The response follows the troubleshooting steps for challenges that do not load or show infinite processing, and includes checking account and contacting support as outlined in the Coding Challenges FAQs. [sources: hackerrank/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md]"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalate to a human,getting_started,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.16). Router classified this as product_issue in getting_started. Escalated for human review. (Confidence: 5/5)
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To request a new date for your assessment, you’ll need to ask the interview organizer to reschedule the interview in HackerRank. They can do this by:
1. Logging into their HackerRank for Work account.
2. Opening **Interviews > Interview List** and selecting the relevant interview.
3. Clicking **Invite Participants**.
4. Updating the **Date**, **Time**, and optionally the **Duration**, **Time zone**, and **Email Notes**.
5. Clicking **Save and Send Email** to notify all participants.

Once the organizer completes these steps, you will receive an email with the updated schedule. If you are the organizer, follow the same steps yourself. If you need further assistance, you can contact support at support@hackerrank.com.",manage_interviews,replied,product_issue,"The response explains the rescheduling process as described in the HackerRank interview rescheduling article, which is the only source covering how to change interview dates and notify participants. [sources: hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md]"
