issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Access to a Claude Team or Enterprise workspace is tied to an assigned seat. If your seat was removed, only an Organization Admin (or Owner/Primary Owner for billing) can re‑assign a seat to you. To regain access, ask one of your admins to:
1. Go to **Organization settings > Organization**.
2. Click **Add member**, enter your work email (it must match an allowed domain), select the appropriate seat type, set your role, and confirm.
3. If a pending invitation already exists, they can resend or revoke it and create a new one.
Once the invitation is accepted, your seat will be restored and you’ll regain access to the workspace. If you are unable to contact an admin, you’ll need to request that the organization’s Owner or Primary Owner re‑assign a seat for you.",admin_management,replied,product_issue,"The guide explains that only admins (or owners for billing) can add members and assign seats, and that removing a seat revokes access until a seat is reassigned. Therefore the user must have an admin restore the seat. [sources: claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md]"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,I am a support assistant. Please provide a relevant question or issue for me to help you with.,general,replied,invalid,Blocked invalid/conversational ticket before generation. (Confidence: 4/5)
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.42). Router classified this as product_issue in general. Escalated for human review. (Confidence: 5/5)
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"It looks like your mock interview session was interrupted. Please try the following steps:

1. Verify the prerequisites – a stable internet connection, a working microphone, and a quiet environment.
2. Refresh the page and start a new interview from the **Prepare** tab (Behavioural or AI Fluency card) to see if the issue persists.
3. If the problem continues, check that you have sufficient mock‑interview credits (you can view your remaining credits on the banner before starting an interview). If you need additional credits, you can purchase them as described in the Purchase Mock Interview Credits article.
4. Should the interview still stop unexpectedly, reach out to HackerRank support with details of the issue (browser, time, any error messages) so they can investigate and advise on a possible refund or credit.

You can contact support through the Help Center or reply to the email you received after your purchase.",mock_interviews,replied,bug,"The response guides the user to verify prerequisites, retry the interview, check credit availability, and contact support for further assistance, which aligns with the provided mock interview usage instructions and billing FAQs. [sources: hackerrank/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md;hackerrank/hackerrank_community/mock-interviews/5174727491-behavioural-mock-interview.md;hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md]"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.12). Router classified this as product_issue in general. Escalated for human review. (Confidence: 5/5)
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We can guide you on the steps to prepare for using HackerRank in your hiring workflow, but we cannot complete your company’s infosec forms for you. To ensure compliance:
1. Review the HackerRank security and privacy documentation available on the support site.
2. Share the relevant security policies, data‑processing agreements, and compliance certifications with your internal infosec team for their review.
3. If your team needs specific details (e.g., data residency, encryption, access controls), they can contact HackerRank support at support@hackerrank.com for official documentation.
4. Once your internal review is complete, you can proceed with creating tests and inviting candidates as described in the onboarding guide.
For any technical questions about setting up tests or invitations, refer to the “Creating Tests” and “Inviting Candidates” sections of the onboarding article.",uncategorized,replied,product_issue,"The response follows the context by providing guidance on using HackerRank for hiring and directing the user to contact support for security documentation, while noting we cannot fill out their internal forms. [sources: hackerrank/uncategorized/9695299159-onboarding-candidates.md]"
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Escalate to a human,general,escalated,bug,Retrieval confidence too low to answer safely (best match score: 0.28). Router classified this as bug in general. Escalated for human review. (Confidence: 5/5)
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If your submissions are not being accepted for any challenge, try the following steps:
1. **Refresh the challenge** – close the challenge window and reopen it using the original link.
2. **Switch browsers** – open the challenge in the latest version of Chrome, Firefox, or Edge.
3. **Check your connection** – make sure you have a stable internet connection.
4. **Verify your account** – confirm you are logged into the same HackerRank Community account you used to start the challenge.
5. **Wait for processing** – after submitting, give the system a moment to evaluate; results appear in the upper‑right corner once processing completes.
6. **If the problem persists**, contact HackerRank support at help@hackerrank.com with details of the issue.

These steps address common problems such as infinite processing messages and missing results.",practice_coding_challenges,replied,bug,"The response follows the troubleshooting steps for challenges that do not load or show infinite processing, and the guidance for missing results, as outlined in the Coding Challenges FAQs. [sources: hackerrank/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md]"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.16). Router classified this as product_issue in general. Escalated for human review. (Confidence: 5/5)
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To request a new date and time for your assessment, you’ll need to reschedule the interview that contains the test. Follow these steps:

1. Log in to your HackerRank for Work account.
2. Navigate to **Interviews > Interview List**.
3. Click the interview associated with the assessment you need to move.
4. In the Interview Details panel, select **Invite Participants**.
5. Update the **Date**, **Time**, and optionally the **Interview Duration**, **Time zone**, and **Email Notes** (you can add a note explaining the reason for the change).
6. Click **Save and Send Email** – this will email the candidate and interviewers with the new schedule.

If the interview is already in progress or has been completed, it cannot be rescheduled; you would need to contact the hiring team to arrange a new interview.

Make sure the new time does not fall within any scheduled maintenance windows (e.g., the platform will be unavailable on April 18, 2026 from 05:00 AM to 06:00 AM GMT).",manage_interviews,replied,product_issue,"The response outlines the exact steps for rescheduling an interview, which is the supported method for changing the assessment time, as described in the Reschedule an Interview article. It also notes the maintenance window that could affect scheduling. [sources: hackerrank/general-help/important-notifications/2086891729-hackerrank-maintenance-window-notification.md;hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md]"
