issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Access to a Claude Team or Enterprise workspace can only be restored by an Organization Admin, Owner, or Primary Owner. Since you are not an admin or owner, you’ll need to ask one of those users to add you back to the organization (or re‑assign a seat) through **Organization settings > Organization**. If you’re unsure who has admin privileges, contact your IT administrator or the current Primary Owner for assistance.",admin_management,Replied,product_issue,"The guide states that only admins and above can add members and restore access, and that users who are not admins must request an admin to add them back. [sources: claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md]"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We understand your concern about the test results. HackerRank does not modify scores or intervene in recruiter decisions. If you believe there was an error, please reach out directly to the recruiter or hiring team at the company for clarification and to discuss any next steps.",general,Replied,product_issue,"The provided context describes integration features and workflows but does not include any process for disputing test scores or adjusting them. Therefore, the appropriate response is to advise the user to contact the recruiter, as no internal action can be taken. [sources: hackerrank/integrations/applicant-tracking-systems/northstarz/4546750166-northstarz-hackerrank-integration-user-guide.md;hackerrank/integrations/applicant-tracking-systems/recruitee/6130823390-recruitee---hackerrank-integration-guide.md]"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"I’m sorry you’re experiencing this problem. As a Visa cardholder, you can request a refund and dispute the transaction directly with your card issuer. To start the process, use Visa’s online form to report the purchase issue and provide details about the merchant, the incorrect product, and the lack of response to your emails. Visa will forward the information to the issuer, who can then investigate and, if appropriate, issue a charge‑back. You can access the form here: https://usa.visa.com/Forms/visa-rules.html.

If you need further assistance, you may also file a Visa rule inquiry through https://globalclient.visa.com/rule-inquiry, but the primary step is to submit the purchase‑issue report.",consumer,Replied,product_issue,"The response directs the user to the appropriate Visa online form for reporting a purchase issue, as outlined in the Visa Credit Card Rules & Regulations document. [sources: visa/support/consumer/visa-rules.md]"
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"To resolve the issue with your mock interview stopping unexpectedly, please try the following steps:

1. Verify the prerequisites:
   - Ensure you have a stable internet connection.
   - Confirm your microphone is working and not muted.
   - Use a quiet, distraction‑free environment.
2. Check your mock interview credits:
   - Go to the **Prepare** tab, locate the **Behavioural** (or **AI Fluency**) card, and view the banner that shows remaining attempts. If you have no credits left, the interview will not start.
3. Refresh the page and restart the interview:
   - Click **End interview** if the session is still open, confirm, then reload the page and begin a new attempt.
4. If the problem persists after confirming the above, you will need to contact HackerRank support for a refund. Provide them with:
   - Your account email.
   - The date and time of the failed interview.
   - Any error messages or screenshots.
   - Details of the credit(s) used for the attempt.

Support will review the case and process a refund if the interview could not be completed due to a platform issue.",mock_interviews,Replied,bug,"The response guides the user through troubleshooting steps based on the prerequisites and credit usage described for mock interviews, and advises contacting support for a refund since the context does not specify an automatic refund process. [sources: hackerrank/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md;hackerrank/hackerrank_community/mock-interviews/5174727491-behavioural-mock-interview.md]"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"If a payment was deducted incorrectly, the amount will be refunded within 5–10 business days. Please refresh the page and retry the payment; if the charge remains or you need further assistance, contact support at help@hackerrank.com with your order ID (cs_live_abcdefgh) so they can investigate the transaction.",subscriptions_payments_and_billing,Escalated,product_issue,"The FAQs state that incorrect deductions are refunded within 5–10 business days and advise retrying the payment. For unresolved issues, the support email is provided."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We recommend that your security or compliance team review HackerRank’s security documentation and complete any required internal forms. You can find detailed information about our platform, data handling, and security practices on the HackerRank support site and by contacting our security team directly at security@hackerrank.com. If you need specific guidance on how to set up tests, invite candidates, or use the platform, the onboarding guide and support pages provide step‑by‑step instructions that you can share with your team.

Steps you can take:
1. Review the security and compliance resources on the HackerRank support portal.
2. Reach out to security@hackerrank.com for any official security questionnaires or documentation.
3. Follow the onboarding checklist to ensure candidates are familiar with the platform before testing begins.
4. If you have further questions, submit a request through the support page or email support@hackerrank.com.",uncategorized,Replied,product_issue,"The context provides guidance on onboarding candidates, test creation, and support contacts but does not include a specific infosec form process; therefore, the response directs the user to security resources and support channels. [sources: hackerrank/uncategorized/9695299159-onboarding-candidates.md]"
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The **Apply** tab has been removed as part of the recent platform update. All job‑related features are no longer available, so you will not see the Apply tab on your dashboard. If you are looking for practice opportunities, you can use the coding challenges under the **Prepare** tab.

If your challenge submissions are not working, try the following steps:
1. Close the challenge window and reopen it using the same link.
2. Open the challenge in a supported browser (latest Chrome, Firefox, or Edge).
3. Verify that your internet connection is stable.
4. After submitting, wait a short time for the results to process; they appear in the upper‑right corner of the challenge page.
5. If the result still does not appear, confirm you are logged into the same HackerRank Community account you used for the challenge.
6. If the issue persists, contact HackerRank Support at help@hackerrank.com.

For practice, explore coding challenges, mock interviews, and other preparation resources under the **Prepare** tab.",practice_coding_challenges,Replied,bug,"The response explains that the Apply tab has been deprecated and directs the user to practice resources, and it provides troubleshooting steps for submission issues as outlined in the coding challenges FAQs. [sources: hackerrank/hackerrank_community/additional-resources/4745765442-notification.md;hackerrank/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md]"
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If your submissions are not being accepted for any challenge, try the following steps:
1. Close the challenge window and reopen it using the same challenge link.
2. Open the challenge in a supported browser (latest Chrome, Firefox, or Edge).
3. Verify that your internet connection is stable.
4. Make sure you are logged in with the same HackerRank Community account you used to start the challenge.
5. After submitting, wait a short moment for the system to process the result; points, badges, and rank will appear in the upper‑right corner of the challenge page.
6. If the problem persists, contact HackerRank support at help@hackerrank.com for further assistance.

Note: Company‑sponsored challenges do not display results on the platform; the hosting company will contact you directly.",practice_coding_challenges,Replied,product_issue,"The FAQ outlines troubleshooting steps for challenges that do not load or submit correctly, including reopening the window, using a supported browser, checking the connection, confirming the correct account, and contacting support if needed. [sources: hackerrank/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md]"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the Zoom connectivity blocker during the compatibility check, please follow these steps:

1. **Allow Zoom domains** – Make sure your network does not block any of the following domains:
   - `*.zoom.us`
   - `*.*.zoom.us`
   - `zoom.us`
   You may need to add them to your organization’s allow‑list.

2. **Use a supported browser** – Verify you are using the latest version of Google Chrome, Microsoft Edge, or Mozilla Firefox.

3. **Run the HackerRank Compatibility test** – Open the [HackerRank Compatibility](https://www.hackerrank.com/compatibility) page and review the results. If Zoom‑related checks still fail, note the exact error message.

4. **Contact support** – Send an email to support@hackerrank.com with a screenshot of the compatibility test error and details of the steps you have already taken. The support team can help identify any remaining network or configuration issues.

By ensuring the Zoom domains are unblocked, using a supported browser, and providing the error details to support, you should be able to clear the compatibility check and proceed with the test.",getting_started,Replied,product_issue,"The response guides the user to unblock Zoom domains, use supported browsers, run the compatibility check, and contact support with a screenshot, directly addressing the Zoom connectivity blocker described in the ticket. [sources: hackerrank/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md]"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule the assessment, the interview organizer needs to update the interview details in HackerRank:
1. Log in to the HackerRank for Work account.
2. Navigate to **Interviews > Interview List** and select the interview to be changed.
3. Click **Invite Participants**.
4. Update the **Date**, **Time**, and optionally the **Interview Duration**, **Time zone**, and **Email Notes**.
5. Click **Save and Send Email**. All participants will receive a notification with the new schedule.
If you are not the organizer, please ask the person who created the interview to follow these steps.",manage_interviews,Replied,product_issue,The response outlines the exact steps to reschedule an interview as described in the HackerRank manage‑interviews documentation. [sources: hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md]
