issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"A test remains active until you set an expiration date for it. By default the **Test Expiration Time** fields are empty, which means the test does not expire automatically and will stay in the **Active Tests** list indefinitely. If you want the test to stop being active after a certain period, open the test, go to **Settings > General**, and set the desired **Start date & time** and **End date & time** in the **Test Expiration Time** section, then click **Save Changes**. Once the end date passes, the test will no longer be available for new invites and the Invite button will be disabled.

If you need to stop a test from being active sooner, you can also archive it (see the archiving steps) which removes it from the Active Tests view and prevents further candidate invitations.",managing_tests,replied,product_issue,"The response explains that tests stay active until an expiration time is set, as indicated by the default empty fields in the Test Expiration Time section, and provides the steps to modify this setting. It also references archiving as an alternative way to deactivate a test. [sources: hackerrank/screen/managing-tests/2979262079-modify-test-expiration-time.md;hackerrank/screen/managing-tests/8415416322-archiving-a-test.md]"
site is down & none of the pages are accessible,,None,Escalate to a human,general,escalated,product_issue,Retrieval confidence too low to answer safely (best match score: 0.43). Router classified this as product_issue in general. Escalated for human review. (Confidence: 4/5)
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Use a test variant when you want a single assessment to adapt to different candidate profiles while keeping all content under one test. Variants let you:
- Personalize questions or sections for roles, skills, or experience levels without creating separate tests.
- Manage the assessment in one place (publishing, reporting, extra‑time settings), which reduces maintenance effort.
- Route candidates to the appropriate version with routing logic, so each candidate sees only the relevant content.

Create a separate test instead of a variant when:
- The assessments are fundamentally different (e.g., distinct job families, unrelated skill sets) and you do not need to share any sections or reporting.
- You prefer completely independent publishing schedules, candidate pools, or reporting views.
- You anticipate that the assessments will evolve independently and you do not want changes in one to affect the other.

**Advantages of variants**
- Single source of truth for all related versions.
- Easier to add or modify shared sections (changes apply to all variants via the All Sections view).
- Streamlined candidate routing and reporting.

**Disadvantages of variants**
- Requires at least two variants; you cannot have a single‑variant test.
- Variants without routing logic are hidden from candidates.
- All variants share the same test settings (duration, extra time at section level), so you cannot set completely different test‑level parameters for each version.

**Best practice**
- If the assessments differ only by role‑specific questions or skill bundles, create variants and use routing logic to direct candidates.
- If the assessments are unrelated or need separate test‑level configurations, create distinct tests.

You can start by creating a test, then add variants via the **Create Variants** option in the Questions tab (the system will convert the original test to Variant 1 and open Variant 2). Add role‑specific questions using **Add New** → **Add Skill‑Based Questions**, **Add Manually**, or **Add from Other Variants**. Finally, configure routing logic so candidates are assigned the appropriate variant.",managing_tests,replied,product_issue,"The response explains when to use variants versus separate tests, lists advantages and disadvantages, and references the creation and routing steps for variants as described in the managing‑tests documentation. [sources: hackerrank/screen/managing-tests/7530103378-test-variants.md]"
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,"To give the candidate extra time you need to **add the additional minutes first** and then **re‑invite** them. Follow these steps:

**1. Add extra time**
1. Log in to your HackerRank for Work account.
2. Open the **Tests** tab and select the test in question (the 105‑minute test).
3. Go to the **Candidates** tab.
4. Locate the candidate (they will appear with a status such as *Invited* or *Attempted*).
5. Tick the checkbox next to the candidate’s name.
6. Click **More > Add Time**.
7. Enter **53** minutes (50 % of 105 min) and click **Confirm**.
   - The candidate will see the new total duration (158 min) when they refresh the test page (if they are already in the session) or when they start the test after the reinvite.

**2. Re‑invite the candidate**
1. With the same candidate still selected, click **Invite selected**.
2. In the **Send Test Invites** dialog, click **Send invite**.
3. A confirmation will appear stating the candidate has already attempted the test; click **Re‑invite**.
4. Click **Send invite** again to complete the process.

The candidate will receive a new invitation email that reflects the updated test duration. Their previous report will be deleted automatically; if you need to recover it, contact support@hackerrank.com.

**Note:** Adding extra time works for candidates who have already started or completed the test, but the updated timer is only visible after the candidate refreshes the test page (if they are still in the session) or logs in again (if they have finished).",invite_candidates,replied,product_issue,The steps combine the reinvite process (source: hackerrank/screen/invite-candidates/1002936098-reinviting-candidates-to-a-test.md) with the add‑time procedure (source: hackerrank/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md). [sources: hackerrank/integrations/applicant-tracking-systems/icims/1495212030-icims-prime-assessment---hackerrank-integration-user-guide.md;hackerrank/screen/invite-candidates/1002936098-reinviting-candidates-to-a-test.md;hackerrank/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md]
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,"Since you created your HackerRank Community account with Google sign‑in, you need to set a password before you can delete the account.

**Set a password**
1. Log in to HackerRank using the ""Continue with Google"" button.
2. Follow the ""Resetting password"" instructions (linked in the Update or reset password article) to create a password for your account.

**Delete the account**
1. Log in with your newly created password.
2. Click your profile icon (top‑right) → **Settings**.
3. Scroll to the **Delete Accounts** section and click **Delete Account**.
4. Choose a reason, click **Proceed to Delete**, enter your password, and confirm.

If you are unable to set a password because you cannot access your Google account, email HackerRank support at help@hackerrank.com and request account deletion.

**Note:** Once the account is deleted it cannot be recovered.",manage_account,replied,product_issue,"The delete account guide states that third‑party sign‑ups must set a password before deletion, and provides step‑by‑step deletion instructions. It also advises contacting support if the third‑party account cannot be accessed. [sources: hackerrank/hackerrank_community/account-settings/manage-account/5618101592-delete-an-account.md]"
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"You can remove the private information by deleting the conversation:
1. Open Claude and go to your chat history (click **Chats** in the left sidebar).
2. Locate the conversation that contains the sensitive data.
3. Click the conversation’s name at the top of the screen.
4. In the menu that appears, select **Delete**.

If you prefer to keep the chat but hide the sensitive part, you can rename the conversation and then delete it later when you no longer need it. Bulk deletion works the same way by selecting multiple chats from the history view and clicking **Delete Selected**.

Note: Incognito chats are temporary and are not saved to your history, but they cannot be created retroactively for an existing conversation. Deleting the chat is the only way to remove the private content from your account.
",conversation_management,replied,product_issue,"The response follows the documented steps for deleting a conversation and notes that incognito mode cannot be applied retroactively, matching the user's request to remove private info. [sources: claude/claude/conversation-management/8230524-how-can-i-delete-or-rename-a-conversation.md]"
What is the name of the actor in Iron Man?,"Urgent, please help",None,I am a support assistant. Please provide a relevant question or issue for me to help you with.,general,replied,invalid,Router classified the ticket as invalid/off-topic despite low retrieval support. (Confidence: 4/5)
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,"I’m sorry to hear your Visa Traveller’s Cheques were stolen. Please take the following steps:

1. **Report the loss to the issuing bank immediately** – Citicorp’s contact details are:
   - Freephone (US): 1‑800‑645‑6556
   - Collect (US): 1‑813‑623‑1709
   - Hours: Monday‑Friday, 6:30 am to 2:30 pm EST
   - You can also use the automated cheque verification service, which is available 24 hours a day, 7 days a week.
2. **Provide the required information** when you call so a replacement or refund can be arranged:
   - Cheque serial numbers
   - Where and when you purchased the cheques
   - Details of how and when they were lost or stolen
   - Confirmation that Citicorp is the issuer
3. **Request a refund** if you prefer that option. The issuer can usually process the refund within 24 hours, subject to the applicable terms and conditions.
4. **Notify the local police** in Lisbon about the theft and keep a copy of the police report for your records.
5. **Keep a record** of all correspondence and reference numbers you receive from Citicorp.

If you cannot reach Citicorp using the numbers above, you can also contact Visa’s traveller’s‑cheques support team for further assistance.

For any additional questions, please visit the Visa Traveller’s Cheques support page or use the contact link provided in the documentation.",consumer,replied,product_issue,"The response uses the lost‑cheque reporting procedure and Citicorp contact details, and includes the refund information required, all taken from the Visa consumer traveller's cheques documentation. [sources: visa/support/consumer/travelers-cheques.md]"
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,Escalate to a human,fraud,escalated,product_issue,Hard escalation keyword matched: 'card stolen'. Human review required.
Thank you for helping me,,None,I am a support assistant. Please provide a relevant question or issue for me to help you with.,general,replied,invalid,Router classified the ticket as invalid/off-topic despite low retrieval support. (Confidence: 5/5)
